3PAr,AST%,BLK%,BPM,DBPM,DRB%,DWS,FTr,G,MP,OBPM,ORB%,OWS,PER,STL%,TOV%,TRB%,TS%,USG%,VORP,WS,WS/48,all_defensive
0.256,29.0,1.4,-4.2,-1.9,10.9,1.2,0.231,68.0,2068.0,-2.3,1.7,-3.3,9.9,1.6,17.9,6.2,0.4370000000000001,25.7,-1.2,-2.1,-0.049,0
0.008,8.2,2.9,-2.3,-1.8,17.8,0.9,0.248,53.0,1591.0,-0.5,8.1,0.3,17.1,0.7,12.5,12.8,0.536,27.3,-0.1,1.2,0.037000000000000005,0
0.251,7.4,0.9,-2.6,0.7,15.8,2.7,0.253,78.0,2232.0,-3.3,4.2,-0.2,8.4,1.6,15.6,10.2,0.489,12.5,-0.3,2.5,0.054000000000000006,0
0.387,21.2,0.5,-2.3,-1.6,11.2,0.7,0.199,80.0,2259.0,-0.7,2.2,-0.7,13.2,2.1,15.9,6.5,0.507,24.1,-0.1,0.0,0.001,0
0.333,15.8,0.8,-2.8,-1.7,8.4,0.7,0.295,76.0,2108.0,-1.2,1.4,1.2,11.9,1.0,14.0,4.8,0.535,23.0,-0.5,1.9,0.043,0
0.342,10.8,0.5,-3.3,0.2,16.7,1.9,0.17,73.0,1687.0,-3.5,3.6,-1.3,8.7,1.6,15.0,9.9,0.46,19.6,-0.5,0.6,0.018000000000000002,0
0.026,5.0,5.1,-1.6,0.6,21.0,2.3,0.228,60.0,1367.0,-2.2,5.5,0.8,15.4,0.9,10.3,13.3,0.531,20.9,0.1,3.1,0.109,0
0.006,3.8,3.8,-0.8,0.1,16.6,1.4,0.369,66.0,1412.0,-0.8,10.3,2.4,15.3,1.6,10.5,13.5,0.588,13.2,0.4,3.8,0.13,0
0.423,9.7,1.7,-0.4,0.7,8.5,1.2,0.232,52.0,1107.0,-1.1,2.2,1.3,11.4,1.7,10.5,5.5,0.569,13.8,0.5,2.5,0.109,0
0.101,10.1,2.1,0.8,2.2,21.4,0.7,0.377,29.0,615.0,-1.4,7.0,0.5,14.2,3.2,13.9,14.1,0.519,13.5,0.4,1.2,0.094,0
0.385,9.0,2.0,-0.8,0.2,17.2,2.1,0.282,81.0,1708.0,-1.0,4.4,1.2,12.5,1.1,8.9,10.7,0.513,17.1,0.5,3.3,0.093,0
0.556,4.8,0.7,-5.5,-1.0,11.3,0.1,0.159,29.0,599.0,-4.5,1.6,-0.4,4.9,1.2,10.0,6.3,0.4270000000000001,11.0,-0.5,-0.3,-0.024,0
0.002,10.0,3.4,-0.2,1.3,14.7,2.1,0.268,80.0,1186.0,-1.5,9.1,0.3,14.7,1.7,17.6,11.9,0.5429999999999999,20.6,0.5,2.4,0.098,0
0.388,18.7,0.1,-2.0,0.3,8.0,1.6,0.16699999999999998,81.0,1499.0,-2.3,1.3,0.2,10.2,2.2,19.5,4.7,0.53,17.2,0.0,1.8,0.058,0
0.532,11.4,1.6,-0.7,0.2,17.2,0.6,0.234,60.0,1075.0,-0.9,5.4,1.4,11.2,1.2,15.3,11.4,0.594,12.8,0.3,1.9,0.087,0
0.459,11.2,1.0,-3.1,-0.7,11.8,1.0,0.129,79.0,1413.0,-2.4,2.2,-0.1,9.4,1.4,18.0,6.9,0.541,16.9,-0.4,0.9,0.029,0
0.119,7.5,1.5,-3.3,-1.8,20.0,1.3,0.151,62.0,1102.0,-1.5,12.0,0.3,13.8,1.1,10.4,16.1,0.469,20.7,-0.4,1.5,0.066,0
0.294,7.1,1.1,-1.8,-0.2,20.2,1.7,0.188,80.0,1382.0,-1.6,5.0,0.6,11.6,1.0,12.1,12.6,0.517,17.9,0.1,2.3,0.079,0
0.256,21.8,0.6,-3.1,-0.3,10.2,1.0,0.315,76.0,1265.0,-2.8,2.0,-0.2,11.2,2.0,16.3,6.2,0.479,19.0,-0.3,0.8,0.03,0
0.265,33.9,0.6,-5.0,-2.2,9.2,0.1,0.126,53.0,869.0,-2.7,2.2,-0.2,10.4,1.5,24.8,5.6,0.488,16.3,-0.7,-0.1,-0.006,0
0.34,27.7,0.4,-2.4,-0.5,8.0,0.3,0.25,37.0,573.0,-1.9,1.4,0.0,11.2,2.7,16.0,4.8,0.45,16.1,-0.1,0.3,0.027000000000000003,0
0.312,3.7,2.7,-2.4,0.4,13.6,0.4,0.211,24.0,362.0,-2.7,7.6,-0.1,12.2,3.9,11.2,10.5,0.47,16.5,0.0,0.3,0.043,0
0.389,10.4,1.1,-0.3,0.3,14.8,0.9,0.231,49.0,725.0,-0.5,2.6,0.7,13.3,2.1,11.3,8.8,0.541,17.8,0.3,1.6,0.105,0
0.194,10.4,0.5,-2.7,0.4,10.8,1.3,0.38,55.0,813.0,-3.1,2.3,0.7,11.9,1.5,15.8,6.7,0.586,18.9,-0.2,2.0,0.119,0
,5.5,1.4,-5.7,-1.3,8.7,0.4,,70.0,1001.0,-4.4,1.3,-1.2,4.2,1.5,,5.0,,13.5,-0.9,-0.8,-0.036000000000000004,0
0.017,6.4,1.7,-3.7,-1.8,14.7,0.2,0.534,27.0,380.0,-2.0,11.2,0.5,14.0,1.1,11.7,12.9,0.534,19.2,-0.2,0.8,0.1,0
0.198,8.0,4.3,-1.5,-0.4,11.7,0.5,0.333,51.0,702.0,-1.1,9.3,1.0,15.9,1.3,11.2,10.5,0.564,17.9,0.1,1.5,0.103,0
0.399,22.5,0.7,-0.7,0.6,11.2,0.8,0.086,57.0,698.0,-1.3,1.5,0.6,12.9,2.6,13.2,6.6,0.49,20.3,0.2,1.4,0.093,0
0.474,6.8,3.2,0.3,1.4,19.3,0.8,0.314,55.0,647.0,-1.1,3.1,0.3,12.3,1.5,10.8,11.2,0.522,15.8,0.4,1.1,0.083,0
0.013,3.9,7.6,0.2,1.8,22.6,0.7,0.59,34.0,397.0,-1.6,11.4,0.6,16.8,1.0,19.0,17.0,0.636,14.0,0.2,1.3,0.156,0
0.613,13.6,0.4,-5.1,0.3,12.4,0.5,0.275,35.0,395.0,-5.4,1.1,-0.3,5.1,1.1,20.4,6.9,0.468,12.8,-0.3,0.2,0.025,0
0.0,3.8,5.7,-0.5,-0.9,19.6,0.3,0.414,39.0,426.0,0.4,12.7,0.9,19.2,0.7,9.2,16.1,0.579,18.1,0.2,1.2,0.134,0
0.374,2.8,0.8,-5.1,-0.5,18.4,0.7,0.232,63.0,671.0,-4.6,4.1,-0.3,8.2,1.6,12.8,11.1,0.507,17.4,-0.5,0.4,0.031,0
0.382,10.9,0.2,-2.5,-0.5,11.9,0.3,0.305,38.0,383.0,-1.9,1.4,0.2,10.7,1.2,11.3,6.4,0.511,19.1,0.0,0.5,0.066,0
0.111,9.8,1.3,-2.4,-2.0,9.5,0.0,0.41,82.0,2969.0,-0.4,5.0,2.1,13.9,1.5,11.7,7.2,0.517,22.6,-0.3,2.1,0.034,0
0.344,17.6,0.7,-2.3,-0.9,12.5,0.6,0.153,45.0,1457.0,-1.5,2.9,0.7,12.3,1.9,10.1,7.5,0.489,19.2,-0.1,1.3,0.043,0
0.0,9.8,5.0,-0.3,2.3,21.0,4.2,0.35200000000000004,75.0,2311.0,-2.6,8.3,-0.2,15.0,2.9,16.2,14.3,0.493,17.0,1.0,4.0,0.083,0
0.059,32.6,0.7,-1.2,0.3,11.2,2.3,0.302,82.0,2489.0,-1.5,4.8,0.0,13.8,2.9,20.2,7.9,0.456,18.3,0.5,2.3,0.044,0
0.061,9.5,0.6,-0.5,-0.4,13.5,1.0,0.251,25.0,738.0,-0.1,7.8,0.4,14.5,2.1,13.9,10.7,0.527,20.7,0.3,1.3,0.08800000000000001,0
0.57,16.3,0.8,-0.5,1.5,9.9,2.2,0.266,67.0,1808.0,-1.9,3.6,0.7,11.0,2.7,14.4,6.7,0.491,15.1,0.7,2.9,0.077,1
0.203,23.8,0.7,0.2,-0.9,10.5,0.4,0.265,59.0,1476.0,1.2,4.0,2.0,16.9,1.8,12.6,7.1,0.528,23.0,0.8,2.4,0.078,0
0.247,24.0,0.4,-4.6,-2.5,11.6,0.0,0.261,77.0,1902.0,-2.2,1.6,-0.7,11.3,1.4,20.4,6.4,0.515,22.0,-1.3,-0.7,-0.018000000000000002,0
0.041,6.4,1.0,-6.9,-2.0,18.2,0.2,0.209,32.0,739.0,-5.0,7.2,-0.7,7.7,1.3,15.5,12.5,0.443,17.0,-0.9,-0.5,-0.033,0
0.635,16.6,0.6,-4.3,-0.7,6.6,1.0,0.077,82.0,1817.0,-3.6,1.7,-1.1,5.7,1.2,21.5,4.2,0.457,13.8,-1.1,-0.1,-0.003,0
0.455,13.2,0.9,-0.7,0.3,11.7,0.9,0.214,50.0,1064.0,-1.0,1.0,1.3,12.3,1.5,9.9,6.4,0.529,19.6,0.3,2.2,0.098,0
0.443,9.4,4.0,-3.3,0.6,12.3,1.4,0.5479999999999999,65.0,1377.0,-3.9,3.7,-0.9,8.7,1.5,16.3,7.8,0.47,16.5,-0.5,0.5,0.019,0
0.5710000000000001,16.8,0.5,-1.2,1.1,10.5,1.6,0.113,79.0,1673.0,-2.3,1.5,0.5,9.6,2.3,20.9,6.0,0.5329999999999999,12.9,0.3,2.2,0.062,0
0.518,19.9,0.3,-3.2,-0.5,11.2,0.8,0.246,51.0,1012.0,-2.7,2.1,-0.3,9.3,2.1,24.3,6.7,0.517,15.5,-0.3,0.5,0.024,0
0.378,9.7,1.4,-3.1,2.1,15.2,1.4,0.361,47.0,924.0,-5.1,3.5,-1.0,7.9,3.2,19.5,9.4,0.45,17.0,-0.3,0.4,0.02,0
0.004,5.6,1.6,-2.1,-1.1,21.4,0.9,0.4320000000000001,63.0,1196.0,-1.0,12.8,2.2,14.7,0.8,12.9,17.0,0.583,13.8,0.0,3.1,0.124,0
0.287,11.3,1.3,-0.9,1.0,13.1,0.7,0.281,32.0,603.0,-2.0,2.9,0.1,12.0,2.9,13.8,8.1,0.506,17.0,0.2,0.8,0.06,0
0.5379999999999999,15.8,1.3,-2.0,0.4,10.9,0.9,0.091,43.0,795.0,-2.4,5.4,-0.4,7.8,1.8,21.2,8.2,0.444,14.2,0.0,0.5,0.029,0
0.231,6.3,2.2,-2.7,-0.1,17.8,0.7,0.293,47.0,797.0,-2.6,6.4,0.3,11.4,1.3,13.9,12.0,0.517,15.5,-0.2,1.0,0.06,0
,7.2,1.4,-1.5,-0.5,14.0,0.8,,62.0,1051.0,-1.0,6.0,1.2,11.5,1.3,,10.1,,14.6,0.1,1.9,0.08800000000000001,0
0.305,7.4,1.2,-2.6,0.4,13.0,0.7,0.271,47.0,781.0,-3.0,2.3,-0.2,9.1,2.1,10.3,7.7,0.459,15.3,-0.1,0.5,0.031,0
0.393,9.1,1.5,-5.2,-1.5,13.8,0.4,0.224,39.0,647.0,-3.7,3.8,-0.8,8.4,2.0,14.5,8.7,0.447,19.6,-0.5,-0.4,-0.03,0
0.503,9.0,1.2,-3.3,-1.0,7.5,0.2,0.21600000000000005,73.0,1127.0,-2.4,1.1,0.3,7.5,0.9,11.0,4.4,0.4920000000000001,14.2,-0.4,0.5,0.021,0
0.3670000000000001,12.0,1.9,-4.2,0.0,12.9,1.1,0.272,74.0,1131.0,-4.2,3.2,-0.5,9.4,1.7,16.4,7.8,0.498,17.9,-0.6,0.6,0.025,0
0.012,4.6,2.6,-1.9,-0.5,24.4,0.7,0.242,32.0,485.0,-1.4,11.9,0.6,16.6,1.7,14.5,18.2,0.55,19.0,0.0,1.3,0.127,0
0.385,34.9,1.0,-2.8,0.2,10.9,0.4,0.201,34.0,455.0,-3.0,0.9,-0.3,10.2,2.2,15.2,5.7,0.394,21.1,-0.1,0.1,0.009000000000000001,0
0.14400000000000002,9.9,1.4,-5.5,-2.1,13.3,0.2,0.124,51.0,672.0,-3.4,5.2,-0.5,8.5,1.2,13.7,9.1,0.451,17.5,-0.6,-0.3,-0.02,0
0.064,8.3,2.4,-3.6,0.4,20.7,0.7,0.34600000000000003,41.0,540.0,-3.9,14.9,0.7,12.0,1.6,15.9,17.7,0.517,8.6,-0.2,1.4,0.122,0
0.475,5.9,0.8,-5.3,0.3,6.7,0.5,0.217,55.0,719.0,-5.6,3.0,-1.2,4.9,2.7,13.8,4.8,0.395,16.6,-0.6,-0.7,-0.046,0
0.299,27.3,1.0,-4.3,-0.2,7.7,0.5,0.049,33.0,411.0,-4.1,1.9,-0.8,7.3,2.2,22.2,4.8,0.411,20.6,-0.2,-0.3,-0.04,0
0.18,7.5,2.9,-5.6,-0.8,20.9,0.3,0.315,24.0,268.0,-4.8,10.5,-0.2,10.5,1.5,17.8,15.5,0.459,19.9,-0.2,0.1,0.012,0
0.124,10.9,1.5,-1.4,2.3,20.8,0.6,0.157,33.0,358.0,-3.8,1.6,-0.3,8.2,2.1,9.5,11.4,0.389,13.4,0.1,0.3,0.044,0
0.0,7.1,0.9,-9.5,-2.2,11.7,0.3,0.225,34.0,368.0,-7.3,8.2,-0.8,3.8,0.7,15.9,10.0,0.379,19.2,-0.7,-0.5,-0.063,0
0.647,5.6,0.5,-3.4,-0.9,11.0,0.3,0.284,31.0,332.0,-2.5,2.9,0.1,8.5,1.2,4.2,6.9,0.457,15.8,-0.1,0.3,0.047,0
0.09,4.8,3.2,-3.0,-0.9,20.6,0.6,0.32299999999999995,50.0,531.0,-2.1,10.0,0.2,13.2,1.0,9.5,15.3,0.48,18.1,-0.1,0.8,0.071,0
0.171,2.5,2.7,-3.1,-0.9,25.3,0.4,0.342,25.0,259.0,-2.1,11.6,0.1,13.2,0.8,11.2,18.3,0.475,17.3,-0.1,0.5,0.085,0
0.197,30.2,1.4,-0.5,-0.2,15.6,2.1,0.348,70.0,2414.0,-0.2,4.3,-0.8,15.5,2.6,16.9,9.8,0.48,25.7,0.9,1.3,0.026,0
0.375,29.4,0.2,-2.6,-2.6,9.0,0.0,0.126,70.0,2262.0,0.0,1.8,1.0,12.6,1.0,12.2,5.3,0.473,21.8,-0.4,0.9,0.02,0
0.241,21.9,1.2,-1.4,0.4,13.1,2.8,0.34,80.0,2487.0,-1.9,1.9,-1.4,13.6,2.7,19.2,7.5,0.514,24.4,0.3,1.3,0.026,1
0.4370000000000001,5.8,0.7,-4.0,-1.1,9.5,0.9,0.211,82.0,2187.0,-2.9,2.7,-0.1,7.7,1.0,11.5,6.1,0.485,16.9,-1.1,0.8,0.016,0
0.282,12.1,2.6,-2.5,-0.1,16.3,1.1,0.483,77.0,1897.0,-2.4,4.6,0.1,10.8,1.7,19.4,10.2,0.518,15.0,-0.2,1.2,0.031,1
0.085,36.4,0.2,-0.2,-0.8,9.6,1.4,0.28,79.0,2663.0,0.6,2.4,1.9,16.0,2.8,19.0,6.2,0.525,20.5,1.2,3.3,0.06,0
0.449,6.1,0.5,-3.2,-1.0,11.2,0.6,0.196,77.0,1742.0,-2.1,4.4,1.4,9.5,1.5,12.9,7.7,0.57,11.3,-0.5,2.0,0.055,0
0.159,23.3,0.9,-1.8,-1.0,10.5,0.2,0.231,58.0,1309.0,-0.8,2.8,0.9,12.7,1.4,11.7,6.5,0.486,16.8,0.1,1.2,0.043,0
0.383,10.7,2.5,-1.5,-0.1,14.4,0.7,0.364,59.0,1312.0,-1.4,3.4,1.5,12.6,1.2,9.8,8.9,0.5479999999999999,15.9,0.2,2.2,0.081,0
0.227,13.1,1.5,-1.2,-0.3,18.8,1.4,0.243,70.0,1400.0,-0.9,11.0,1.5,15.2,1.3,16.0,14.8,0.546,21.0,0.3,2.9,0.101,0
0.197,21.0,0.8,-3.1,-0.8,7.8,0.4,0.14300000000000002,45.0,897.0,-2.3,2.2,0.0,9.7,1.2,10.9,5.0,0.439,17.6,-0.3,0.4,0.02,0
0.402,5.0,0.6,-2.6,0.5,8.6,0.8,0.133,80.0,1583.0,-3.0,2.5,1.0,9.4,2.4,5.4,5.4,0.483,13.9,-0.2,1.8,0.055,0
0.01,8.1,3.6,1.0,0.8,19.6,1.7,0.6459999999999999,70.0,1275.0,0.2,9.3,3.0,19.0,2.0,16.6,14.5,0.67,17.1,1.0,4.7,0.17600000000000002,0
0.524,22.1,0.3,-1.8,-0.2,8.5,0.7,0.162,72.0,1271.0,-1.6,2.5,1.4,10.7,1.3,15.9,5.4,0.534,13.2,0.1,2.1,0.078,0
0.002,10.4,2.3,-2.0,0.9,18.8,2.2,0.495,82.0,1416.0,-2.9,9.4,0.4,13.1,1.5,15.0,14.1,0.498,18.9,0.0,2.6,0.09,0
0.196,26.5,0.6,-0.9,1.6,11.5,1.6,0.232,71.0,1173.0,-2.5,2.3,-0.1,12.3,3.0,22.8,6.9,0.506,17.5,0.3,1.5,0.062,0
0.53,9.1,0.9,-2.6,0.5,9.6,1.7,0.122,77.0,1231.0,-3.1,1.8,-0.1,8.0,1.3,11.1,5.7,0.489,14.9,-0.2,1.6,0.063,0
0.419,30.8,0.3,-3.3,0.5,8.8,1.1,0.17800000000000002,75.0,1132.0,-3.8,1.9,-1.0,8.8,3.1,24.2,5.3,0.39,14.1,-0.4,0.1,0.005,0
0.0,4.9,3.9,-2.2,0.9,17.1,1.9,0.735,81.0,1197.0,-3.1,14.1,0.9,11.2,1.7,22.5,15.6,0.541,11.7,-0.1,2.9,0.114,0
0.004,7.2,4.6,-1.1,0.9,26.9,1.5,0.41,60.0,818.0,-2.0,13.4,0.7,16.5,1.8,16.8,20.0,0.534,16.8,0.2,2.2,0.129,0
0.236,4.0,1.0,-7.4,-1.3,18.4,0.7,0.307,52.0,663.0,-6.0,8.1,-1.1,6.9,1.6,15.5,13.1,0.425,20.3,-0.9,-0.4,-0.028,0
0.0,1.9,4.5,-4.7,-0.3,25.8,0.5,0.386,31.0,390.0,-4.5,10.7,0.1,10.7,0.9,15.6,18.1,0.5,13.1,-0.3,0.6,0.07,0
0.449,8.7,0.3,-3.4,-0.6,9.2,0.3,0.191,38.0,476.0,-2.9,1.6,-0.2,9.0,1.5,15.4,5.4,0.521,20.9,-0.2,0.2,0.019,0
0.503,5.0,0.2,-2.0,-0.4,16.6,0.6,0.09,53.0,655.0,-1.6,5.7,0.6,9.6,1.2,5.2,11.0,0.4920000000000001,12.6,0.0,1.1,0.084,0
0.008,5.6,6.1,0.2,0.7,17.4,0.6,0.5660000000000001,58.0,684.0,-0.5,8.2,1.2,15.2,1.1,11.0,12.7,0.59,12.0,0.4,1.8,0.128,0
0.078,7.1,1.1,-6.3,-0.6,13.9,0.4,0.414,51.0,575.0,-5.7,6.9,-0.3,7.5,2.0,18.8,10.2,0.476,13.7,-0.6,0.1,0.008,0
0.21600000000000005,5.7,1.6,-3.2,-0.1,13.0,0.5,0.329,52.0,533.0,-3.1,5.3,-0.3,10.3,1.9,18.7,9.2,0.507,19.4,-0.2,0.2,0.018000000000000002,0
0.191,5.2,2.0,-2.4,1.4,15.6,0.6,0.147,40.0,399.0,-3.8,10.7,0.2,9.0,2.4,20.8,13.3,0.518,10.1,0.0,0.8,0.099,1
0.0,8.3,2.3,-3.6,-1.6,13.7,0.1,0.4370000000000001,48.0,465.0,-2.1,12.9,1.0,15.3,0.8,15.7,13.3,0.603,17.3,-0.2,1.1,0.112,0
0.0,2.4,7.4,-2.7,0.9,28.5,0.6,0.878,45.0,434.0,-3.6,13.1,-0.2,12.9,1.0,23.8,20.6,0.507,14.2,-0.1,0.4,0.045,1
0.233,30.1,0.3,-7.6,-2.7,8.6,0.1,0.14,31.0,292.0,-4.9,2.0,-0.5,5.4,0.7,25.4,5.3,0.4,19.0,-0.4,-0.4,-0.073,0
0.439,21.0,0.4,-6.4,-1.1,6.2,0.1,0.263,24.0,224.0,-5.3,0.9,-0.2,5.7,2.0,22.1,3.4,0.425,15.6,-0.2,-0.2,-0.032,0
0.603,4.3,0.2,-3.3,-0.9,11.7,0.3,0.07400000000000001,43.0,395.0,-2.5,3.2,-0.2,6.7,1.1,9.4,7.6,0.46,15.4,-0.1,0.2,0.019,0
0.231,4.6,0.3,-6.2,-1.3,13.3,0.3,0.132,37.0,319.0,-4.9,7.5,-0.4,6.0,1.3,12.7,10.4,0.405,15.6,-0.3,0.0,-0.006,0
0.0,1.6,3.8,-6.6,-0.7,18.6,0.4,0.397,42.0,362.0,-5.9,12.1,-0.2,7.3,0.6,22.1,15.3,0.469,14.3,-0.4,0.2,0.024,0
0.575,7.9,0.7,-2.4,0.9,15.2,0.4,0.175,28.0,226.0,-3.3,4.7,0.0,7.6,1.1,23.2,10.2,0.545,11.3,0.0,0.4,0.08,0
0.08900000000000001,3.4,0.3,-4.5,-2.3,11.2,0.2,0.32299999999999995,37.0,290.0,-2.2,8.8,0.1,13.1,1.4,10.2,10.0,0.505,23.1,-0.2,0.3,0.053,0
0.093,21.5,0.2,-4.4,-0.7,10.1,0.3,0.302,51.0,373.0,-3.7,4.0,-0.3,11.1,2.7,18.9,6.9,0.479,22.5,-0.2,0.0,0.002,0
0.5,5.8,1.1,-1.8,-1.3,14.1,0.1,0.387,31.0,198.0,-0.5,7.4,0.2,11.1,0.5,7.6,10.8,0.489,17.4,0.0,0.3,0.083,0
0.391,28.8,0.5,0.3,-1.9,8.0,0.7,0.249,82.0,3167.0,2.1,1.5,5.1,16.4,1.2,14.5,4.7,0.546,24.2,1.8,5.8,0.08800000000000001,0
0.344,13.7,1.3,0.2,0.2,10.8,2.0,0.231,56.0,1745.0,0.0,2.7,1.0,13.6,1.5,10.6,6.7,0.515,22.2,1.0,3.0,0.08199999999999999,0
0.009000000000000001,6.1,5.1,2.5,0.7,23.5,2.4,0.333,64.0,1846.0,1.8,10.5,3.7,21.7,2.2,10.3,16.8,0.5589999999999999,21.8,2.1,6.1,0.159,1
0.249,18.4,0.7,-2.1,-1.8,8.8,0.6,0.261,61.0,1756.0,-0.4,1.4,0.3,13.7,1.7,11.8,4.9,0.4920000000000001,26.1,-0.1,0.9,0.026,0
0.312,5.3,1.3,-3.0,-0.8,11.3,1.2,0.193,82.0,2293.0,-2.2,5.4,1.1,10.0,1.3,12.3,8.3,0.517,15.8,-0.6,2.3,0.048,0
0.006999999999999999,7.4,2.8,-4.0,-0.9,16.7,1.2,0.281,77.0,2033.0,-3.1,8.7,0.8,11.0,0.9,13.1,12.5,0.486,15.9,-1.0,2.0,0.048,0
0.207,3.9,2.4,-1.3,0.3,12.2,1.7,0.227,76.0,1974.0,-1.6,7.0,0.7,12.5,2.3,10.0,9.6,0.504,15.9,0.4,2.4,0.059,0
0.015,10.1,2.8,-2.6,-0.9,18.9,1.0,0.305,78.0,2025.0,-1.6,7.2,1.1,14.0,1.4,12.7,12.9,0.506,17.9,-0.3,2.1,0.051,0
0.231,7.3,0.5,-1.7,-0.1,14.5,1.9,0.303,81.0,2058.0,-1.6,2.9,0.9,11.0,1.3,12.4,8.9,0.526,17.7,0.1,2.8,0.065,0
